deckId,medalId,keepPriority,mulliganPriority,desiredEarlyCount,comboGroup,corePiece,earlyRole,earlyPlan
Demon,C09,28,6,1,zero,true,payoff,zero
Demon,C10,18,14,1,zero,false,payoff,zero
Demon,W13,32,0,1,zero,true,enabler,zero
Demon,W01,24,0,1,,false,curve,zero
Demon,LC2,38,0,0,zero,true,payoff,zero
Demon,W02,20,0,1,,false,curve,zero
Seed,C11,42,0,2,seed,true,curve,seed
Seed,C12,34,0,1,seed,true,enabler,seed
Seed,C13,32,0,1,seed,true,enabler,seed
Seed,C14,30,0,1,seed,true,payoff,seed
Seed,C15,28,6,1,seed,true,payoff,seed
Seed,W19,14,8,1,,false,generic,seed
Seed,W02,18,0,1,,false,curve,seed
Seed,LC3,38,0,0,seed,true,payoff,seed
Seed,W01,22,0,1,,false,curve,seed
Merchant,F01,40,0,2,shop,true,curve,shop
Merchant,F02,24,8,1,shop,false,enabler,shop
Merchant,F03,32,0,1,shop,true,enabler,shop
Merchant,F04,36,0,1,shop,true,payoff,shop
Merchant,F05,30,0,1,shop,true,payoff,shop
Merchant,W19,14,8,1,,false,generic,shop
Merchant,W02,18,0,1,,false,curve,shop
Merchant,LF1,38,0,0,shop,true,payoff,shop
Assassin,F06,32,0,1,hunt,true,enabler,hunt
Assassin,F07,18,12,1,hunt,false,generic,hunt
Assassin,F08,38,0,2,hunt,true,curve,hunt
Assassin,F09,36,0,1,hunt,true,payoff,hunt
Assassin,F10,30,0,1,hunt,true,enabler,hunt
Assassin,W01,22,0,1,,false,curve,hunt
Assassin,W19,12,10,1,,false,generic,hunt
Assassin,W13,28,0,1,hunt,true,enabler,hunt
Assassin,LF2,38,0,0,hunt,true,payoff,hunt
Assassin,W02,20,0,1,,false,curve,hunt
Gambler,F11,38,0,2,gamble,true,curve,gamble
Gambler,F12,28,0,1,gamble,true,payoff,gamble
Gambler,F13,32,0,1,gamble,true,payoff,gamble
Gambler,F15,36,0,1,gamble,true,enabler,gamble
Gambler,W13,30,0,1,gamble,true,enabler,gamble
Gambler,W01,22,0,1,,false,curve,gamble
Gambler,W19,12,10,1,,false,generic,gamble
Gambler,W04,24,0,1,,false,curve,gamble
Gambler,LF3,38,0,0,gamble,true,payoff,gamble
Gambler,W02,20,0,1,,false,curve,gamble
CommandControl,CMD01,28,0,1,command,true,enabler,command
CommandControl,CMD02,16,10,1,command,false,enabler,command
CommandControl,CMD05,14,12,1,command,false,payoff,command
CommandControl,CMD07,26,0,1,lock,true,enabler,command
CommandControl,W01,22,0,1,,false,curve,command
CommandControl,W02,20,0,1,,false,curve,command
CommandControl,W04,22,0,1,,false,curve,command
CommandControl,W05,22,0,1,,false,curve,command
CommandControl,W13,26,0,1,,false,enabler,command
CommandControl,W19,12,8,1,,false,generic,command
CommandControl,T02,30,0,1,lock,true,enabler,command
CommandControl,T11,28,0,1,,false,enabler,command

